created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Nov 12 15:10:42 +0000 2023,1.72371997699623E+018,"Dengan demikian, dapat disimpulkan bahwa Prabowo unggul dari Ganjar dan Anies. Serta, berdasarkan tren 3 nama Capres mengemuka tersebut nampak perubahan yang besar terjadi dalam periode waktu yang sangat singkat,",0,1,0,0,in,1.69016375648204E+018,1.72371993488127E+018,Positivevi47750,https://twitter.com/Positivevi47750/status/1723719976996237407
Sun Nov 12 15:10:40 +0000 2023,1.72371996974429E+018,@Julian303 @Daeng_LeoMks Anies Insya Allah Menang Satu Putaran Kalau Tidak Culas Curang Penyelenggara Pemilu sudah byk tanda tanda. KeCurang an  Ayoo Kita Jadi Pejuang Anies Jaga TPS masing masing di lokasi terdekat dari rumah Anda.,0,0,0,1,in,1.71849022263433E+018,1.7229493608568E+018,EWAKOAMBO,https://twitter.com/EWAKOAMBO/status/1723719969744294245
Sun Nov 12 15:10:40 +0000 2023,1.72371996870413E+018,"â€œJika pemilihan presiden diadakan sekarang, siapa yang akan Bapak/Ibu pilih sebagai Presiden? Prabowo unggul hingga 40,6%, disusul Ganjar 27,8% kemudian Anies 23,7%. Serta, 7,9% yang tidak tahu atau tidak jawab.â€ papar Burhanuddin",0,1,0,0,in,1.69016375648204E+018,1.72371993488127E+018,Positivevi47750,https://twitter.com/Positivevi47750/status/1723719968704131255
Sun Nov 12 15:10:31 +0000 2023,1.72371992998645E+018,"@erulsal70 @Arifkhaerulsal3 @idrisbue @aniesbaswedan Sudah banyak konfirmasi dari pak anies sendiri kok, informasi sekarang ini terbuka..tinggal cari aja via internet.",0,0,0,0,in,1.65813728602922E+018,1.72351024325744E+018,PoliticIsBS,https://twitter.com/PoliticIsBS/status/1723719929986453807
Sun Nov 12 15:09:36 +0000 2023,1.72371969874609E+018,"bukan hanya jargon yang katanya sat-set tapi entah hasilnya..  bukan pula yang katanya bisa menembak, bisa naik kuda dsbnya tapi belum ada karyanya  Anies Baswedan sudah membuktikan bahwa tidak hanya sekedar kata, ta[i sudah memberikan bukti lewat karya nyata https://t.co/h7hC4GpvsO",0,0,2,8,in,1.39912196586088E+018,1.72371969874609E+018,MyAnalyst4,https://twitter.com/MyAnalyst4/status/1723719698746093702
Sun Nov 12 15:09:35 +0000 2023,1.72371969724456E+018,@PDemokrat Anies Baswedan selalu menegaskan dukungannya terhadap hak Palestina.,0,0,0,0,in,1.72316161856833E+018,1.72362827834132E+018,Amandaputriyaa,https://twitter.com/Amandaputriyaa/status/1723719697244561501
Sun Nov 12 15:09:20 +0000 2023,1.72371963266909E+018,@mediaindonesia @thaliafrizna anies-muhaimin yang paling taat konstitusi pasti bisa melawan ketidakadilan dan penyelewengan pemilu 2024,0,0,0,0,in,1.70645273765817E+018,1.72331464789656E+018,kayshilaveni,https://twitter.com/kayshilaveni/status/1723719632669098236
Sun Nov 12 15:08:41 +0000 2023,1.72371947200628E+018,"@__AnakKolong @ganjarpranowo @mohmahfudmd @puanmaharani_ri @ArsjadRasjid Berharap Berharap Berharap ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ Rasakno Dewe 9 tahun yang lalu di kasih tau Ngeyellllll... Masih mau Pilih Petugas Partai, Pencitraan, Merakyat, Sederhana ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",0,0,0,0,in,4780916052,1.72359272154443E+018,CahKeren212,https://twitter.com/CahKeren212/status/1723719472006283667
Sun Nov 12 15:08:24 +0000 2023,1.72371939713368E+018,@Bramantyo @msaid_didu kesimpulannya kalo Anies jadi presiden harga bahan pokok akan turun?ðŸ˜,0,0,0,0,in,514876304,1.7236300066127E+018,interisti2001,https://twitter.com/interisti2001/status/1723719397133689226
Sun Nov 12 15:07:39 +0000 2023,1.72371920881779E+018,"@mediaindonesia Mantap, anies-muhaimin paling terbaik untuk melawan ketidakadilan khususnya perpolitikan indonesia",0,0,0,0,in,1.70617983765497E+018,1.72331464789656E+018,thaliafrizna,https://twitter.com/thaliafrizna/status/1723719208817791406
